chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
47,,18,0,19,11,0.6041666666666666,0.5955654101995566
48,,13,0,19,16,0.6041666666666666,0.6026143790849673
49,,7,7,1,33,0.8333333333333334,0.7641277641277642
50,,12,4,10,22,0.7083333333333334,0.6950998185117967
51,,13,0,5,30,0.8958333333333334,0.8808933002481389
52,,5,7,2,34,0.8125,0.7047163362952836
53,,10,5,9,24,0.7083333333333334,0.6812144212523719
54,,15,0,15,18,0.6875,0.6862745098039216
55,,14,0,17,17,0.6458333333333334,0.6444444444444444
56,,12,1,16,19,0.6458333333333334,0.6381374722838138
57,,16,0,11,21,0.7708333333333334,0.7683194383501536
58,,8,6,7,27,0.7291666666666666,0.6788471435923829
59,,8,4,5,31,0.8125,0.7566197183098591
60,,13,1,10,24,0.7708333333333334,0.7581310123683005
61,,14,0,14,20,0.7083333333333334,0.7037037037037037
62,,14,0,14,20,0.7083333333333334,0.7037037037037037
63,,10,4,3,31,0.8541666666666666,0.8196457326892109
64,,19,1,8,20,0.8125,0.8124185844550587
65,,7,6,6,29,0.75,0.6835164835164835
66,,9,4,8,27,0.75,0.7090909090909091
67,,12,4,0,32,0.9166666666666666,0.8991596638655461
68,,15,0,10,23,0.7916666666666666,0.7857142857142857
69,,15,3,15,15,0.625,0.625
70,,13,0,15,20,0.6875,0.6807095343680709
71,,18,0,13,17,0.7291666666666666,0.7290490664350847
72,,6,7,4,31,0.7708333333333334,0.6855270994639666
73,,0,13,2,33,0.6875,0.4074074074074074
74,,15,4,19,10,0.5208333333333334,0.515577007459412
75,,16,0,11,21,0.7708333333333334,0.7683194383501536
76,,12,0,14,22,0.7083333333333334,0.6950998185117967
77,,15,0,16,17,0.6666666666666666,0.6660869565217391
78,,18,0,14,16,0.7083333333333334,0.7078260869565217
79,,6,8,5,29,0.7291666666666666,0.6484507042253521
80,,15,0,18,15,0.625,0.625
81,,20,0,4,11,0.8857142857142857,0.8776223776223776
82,,14,0,7,27,0.8541666666666666,0.8426229508196721
83,,13,0,9,26,0.8125,0.7976580796252928
84,,15,2,15,16,0.6458333333333334,0.6456795484151108
85,,20,0,21,7,0.5625,0.5278688524590164
86,,31,0,11,5,0.7659574468085106,0.6627527723418134
87,,23,2,16,6,0.6170212765957447,0.559375
88,,17,0,14,17,0.7083333333333334,0.7083333333333334
89,,13,0,13,21,0.723404255319149,0.7151515151515151
90,,14,0,18,16,0.625,0.6243478260869566
91,,13,1,11,23,0.75,0.7386569872958257
92,,17,0,20,11,0.5833333333333334,0.5767195767195767
93,,18,0,22,8,0.5416666666666666,0.5208711433756805
94,,20,0,21,7,0.5625,0.5278688524590164
95,,15,0,25,8,0.4791666666666667,0.4678492239467849
96,,14,0,26,8,0.4583333333333333,0.4497354497354497
97,,16,0,17,15,0.6458333333333334,0.6456795484151108
98,,18,1,13,16,0.7083333333333334,0.7078260869565217
99,,22,0,21,5,0.5625,0.4997518610421836
100,,14,0,14,20,0.7083333333333334,0.7037037037037037
101,,14,0,11,23,0.7708333333333334,0.7624831309041835
102,,15,0,16,17,0.6666666666666666,0.6660869565217391
103,,15,0,23,10,0.5208333333333334,0.515577007459412
104,,24,1,18,5,0.6041666666666666,0.5306227483273289
105,,16,1,4,27,0.8958333333333334,0.8900595510765003
