chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
246,2020-10-14,26,12,0,3,3,0,3,9,0,0.5178571428571429,0.3142857142857143
247,2020-10-15,33,14,0,1,8,0,7,18,3,0.5238095238095238,0.42335966644722406
248,2020-10-16,34,15,0,3,8,0,9,14,6,0.5393258426966292,0.4639933166248955
249,2020-10-17,25,5,0,4,6,4,8,17,14,0.5421686746987951,0.5077370042020474
250,2020-10-18,35,33,1,3,8,0,8,10,13,0.5045045045045045,0.48151264869357435
251,2020-10-19,28,15,0,4,6,2,4,19,6,0.47619047619047616,0.42131810486240867
252,2020-10-20,20,12,0,5,3,1,10,32,10,0.3548387096774194,0.34053936665876955
253,2020-10-21,35,5,0,2,3,0,2,15,7,0.6521739130434783,0.5173248556262031
254,2020-10-22,23,13,2,2,5,2,1,12,15,0.5733333333333334,0.5378193762502274
255,2020-10-23,21,7,0,1,4,0,4,26,24,0.5632183908045977,0.527879527879528
256,2020-10-24,28,6,0,1,6,0,2,18,12,0.6301369863013698,0.5771057771057772
257,2020-10-25,15,9,0,3,4,2,3,10,21,0.5970149253731343,0.5511695906432749
258,2020-10-26,19,6,0,2,2,0,3,19,20,0.5774647887323944,0.5165679174895764
259,2020-10-27,20,4,0,1,3,0,5,4,1,0.631578947368421,0.4606060606060607
260,2020-10-28,19,8,0,5,36,1,2,12,2,0.6705882352941176,0.5540671084719886
261,2020-10-29,21,6,0,4,5,0,0,5,3,0.6590909090909091,0.5843822843822845
262,2020-10-30,19,6,3,4,5,2,1,4,7,0.6078431372549019,0.5662393162393163
263,2020-10-31,24,9,2,1,4,0,1,9,5,0.6,0.5125756655811301
264,2020-11-01,31,3,0,5,10,1,6,12,2,0.6142857142857143,0.4925024650704173
265,2020-11-02,27,8,0,2,3,2,3,13,2,0.5333333333333333,0.3937789060562291
266,2020-11-03,14,3,1,1,4,1,2,17,3,0.45652173913043476,0.4296296296296296
267,2020-11-04,6,6,0,1,2,0,2,13,3,0.3333333333333333,0.3412698412698412
268,2020-11-05,8,4,0,2,4,1,3,11,2,0.4,0.3860728744939272
269,2020-11-06,8,6,1,0,2,0,1,7,4,0.4827586206896552,0.45751633986928103
270,2020-11-07,8,5,0,1,0,0,4,10,2,0.3333333333333333,0.2792022792022792
271,2020-11-08,19,2,1,3,5,0,0,13,4,0.5957446808510638,0.5281385281385281
272,2020-11-09,12,7,1,1,6,0,2,19,6,0.4444444444444444,0.44878258995906056
273,2020-11-10,14,9,1,3,6,1,8,22,7,0.38028169014084506,0.3770318488172327
274,2020-11-11,10,3,2,1,0,0,6,12,0,0.29411764705882354,0.20833333333333334
275,2020-11-12,22,11,0,0,2,0,0,13,7,0.5636363636363636,0.4871252204585537
276,2020-11-13,6,6,0,1,7,0,5,16,5,0.391304347826087,0.4003196745132229
277,2020-11-14,9,4,0,0,3,0,0,5,5,0.6538461538461539,0.6282828282828282
278,2020-11-15,12,2,0,0,4,0,4,9,1,0.53125,0.45146198830409356
279,2020-11-16,3,1,1,0,4,0,1,15,10,0.4857142857142857,0.5135135135135135
280,2020-11-17,13,6,1,1,8,1,2,5,5,0.6190476190476191,0.6000873832089803
